variant,token,correct,missing,substituted,total,error_rate
whisper-large-v3-turbo,days,119,6,2,127,0.06299212598425197
GPT-4o mini Transcribe,welcome,134,3,6,143,0.06293706293706292
whisper-large-v3-turbo,into,447,16,14,477,0.06289308176100628
whisper-small,driven,686,25,21,732,0.06284153005464477
whisper-small,risk,194,0,13,207,0.0628019323671497
whisper-large-v3-turbo,times,403,8,19,430,0.06279069767441858
GPT-4o mini Transcribe,decline,284,4,15,303,0.06270627062706269
whisper-large-v3-turbo,basis,1154,45,32,1231,0.06255077173030055
whisper-large-v3-turbo,roughly,240,10,6,256,0.0625
whisper-large-v3-turbo,delivering,90,3,3,96,0.0625
GPT-4o mini Transcribe,private,90,6,0,96,0.0625
whisper-small,delivering,90,3,3,96,0.0625
GPT-4o mini Transcribe,central,90,0,6,96,0.0625
whisper-small,back,420,19,9,448,0.0625
whisper-large-v3-turbo,things,90,3,3,96,0.0625
whisper-large-v3-turbo,exchange,240,7,9,256,0.0625
whisper-large-v3-turbo,accounted,90,3,3,96,0.0625
GPT-4o mini Transcribe,things,90,3,3,96,0.0625
whisper-large-v3-turbo,charges,90,2,4,96,0.0625
whisper-large-v3-turbo,achieve,90,0,6,96,0.0625
whisper-small,decrease,330,21,1,352,0.0625
GPT-4o mini Transcribe,past,150,7,3,160,0.0625
whisper-large-v3-turbo,offset,135,9,0,144,0.0625
GPT-4o mini Transcribe,be,1847,65,58,1970,0.06243654822335021
whisper-large-v3-turbo,well,781,29,23,833,0.06242496998799518
whisper-large-v3-turbo,look,391,20,6,417,0.062350119904076684
whisper-large-v3-turbo,your,632,24,18,674,0.06231454005934722
whisper-small,10,1219,47,34,1300,0.062307692307692286
GPT-4o mini Transcribe,quarterly,286,6,13,305,0.06229508196721312
whisper-small,80,181,6,6,193,0.06217616580310881
whisper-large-v3-turbo,80,181,9,3,193,0.06217616580310881
GPT-4o mini Transcribe,turning,166,1,10,177,0.062146892655367214
GPT-4o mini Transcribe,below,272,15,3,290,0.06206896551724139
GPT-4o mini Transcribe,therefore,136,3,6,145,0.06206896551724139
GPT-4o mini Transcribe,prior,544,14,22,580,0.06206896551724139
whisper-large-v3-turbo,up,2011,86,47,2144,0.06203358208955223
whisper-small,just,923,39,22,984,0.061991869918699205
GPT-4o mini Transcribe,benefit,91,3,3,97,0.061855670103092786
GPT-4o mini Transcribe,pricing,91,6,0,97,0.061855670103092786
whisper-large-v3-turbo,can,623,16,25,664,0.06174698795180722
GPT-4o mini Transcribe,estimated,76,0,5,81,0.06172839506172845
GPT-4o mini Transcribe,why,137,0,9,146,0.06164383561643838
GPT-4o mini Transcribe,on,5862,223,162,6247,0.06162958219945569
whisper-large-v3-turbo,2020,2453,91,70,2614,0.061591430757459875
whisper-large-v3-turbo,july,61,3,1,65,0.06153846153846154
whisper-small,services,244,12,4,260,0.06153846153846154
whisper-small,july,61,3,1,65,0.06153846153846154
whisper-small,relative,61,4,0,65,0.06153846153846154
whisper-small,take,244,6,10,260,0.06153846153846154
GPT-4o mini Transcribe,this,3875,114,140,4129,0.06151610559457499
GPT-4o mini Transcribe,set,107,0,7,114,0.06140350877192979
whisper-large-v3-turbo,10,1223,55,25,1303,0.06139677666922483
whisper-large-v3-turbo,improvement,306,13,7,326,0.06134969325153372
whisper-large-v3-turbo,digit,199,9,4,212,0.061320754716981174
GPT-4o mini Transcribe,also,1088,33,38,1159,0.06125970664365832
whisper-large-v3-turbo,active,92,3,3,98,0.061224489795918324
whisper-large-v3-turbo,between,553,23,13,589,0.06112054329371819
GPT-4o mini Transcribe,total,1229,32,48,1309,0.061115355233002266
whisper-large-v3-turbo,points,1122,42,31,1195,0.06108786610878658
whisper-large-v3-turbo,another,200,7,6,213,0.06103286384976525
whisper-small,estimated,77,0,5,82,0.060975609756097615
GPT-4o mini Transcribe,production,416,21,6,443,0.060948081264108334
GPT-4o mini Transcribe,sheet,185,9,3,197,0.060913705583756306
GPT-4o mini Transcribe,ebit,293,3,16,312,0.0608974358974359
whisper-small,short,108,3,4,115,0.060869565217391286
whisper-large-v3-turbo,maybe,170,10,1,181,0.06077348066298338
whisper-large-v3-turbo,month,232,11,4,247,0.06072874493927127
GPT-4o mini Transcribe,even,263,9,8,280,0.06071428571428572
whisper-small,2019,1161,54,21,1236,0.06067961165048541
whisper-small,kroner,93,6,0,99,0.06060606060606055
whisper-large-v3-turbo,kroner,93,6,0,99,0.06060606060606055
whisper-small,q4,465,30,0,495,0.06060606060606055
whisper-small,loan,155,6,4,165,0.06060606060606055
GPT-4o mini Transcribe,each,93,3,3,99,0.06060606060606055
whisper-small,things,93,3,3,99,0.06060606060606055
GPT-4o mini Transcribe,expected,605,17,22,644,0.060559006211180155
whisper-large-v3-turbo,continue,388,16,9,413,0.060532687651331685
GPT-4o mini Transcribe,thanks,202,6,7,215,0.06046511627906981
GPT-4o mini Transcribe,that,4849,182,130,5161,0.06045340050377834
whisper-large-v3-turbo,2021,3093,119,80,3292,0.060449574726609945
GPT-4o mini Transcribe,continue,389,13,12,414,0.06038647342995174
whisper-large-v3-turbo,transaction,109,4,3,116,0.06034482758620685
whisper-small,transaction,109,6,1,116,0.06034482758620685
GPT-4o mini Transcribe,our,7011,229,221,7461,0.06031363088057906
whisper-small,together,78,4,1,83,0.06024096385542166
whisper-large-v3-turbo,44,156,9,1,166,0.06024096385542166
whisper-small,final,78,4,1,83,0.06024096385542166
GPT-4o mini Transcribe,okay,234,12,3,249,0.06024096385542166
GPT-4o mini Transcribe,capacity,156,7,3,166,0.06024096385542166
GPT-4o mini Transcribe,versus,937,30,30,997,0.06018054162487463
whisper-small,posted,250,10,6,266,0.06015037593984962
whisper-small,im,172,11,0,183,0.060109289617486295
GPT-4o mini Transcribe,what,688,21,23,732,0.060109289617486295
whisper-large-v3-turbo,include,94,0,6,100,0.06000000000000005
whisper-large-v3-turbo,pricing,94,6,0,100,0.06000000000000005
whisper-small,quick,94,6,0,100,0.06000000000000005
GPT-4o mini Transcribe,include,94,3,3,100,0.06000000000000005
whisper-small,benefit,94,3,3,100,0.06000000000000005
GPT-4o mini Transcribe,how,251,12,4,267,0.05992509363295884
whisper-large-v3-turbo,already,251,9,7,267,0.05992509363295884
whisper-small,12,864,47,8,919,0.05984766050054402
GPT-4o mini Transcribe,driven,660,25,17,702,0.05982905982905984
whisper-small,73,63,3,1,67,0.05970149253731338
whisper-small,talk,63,1,3,67,0.05970149253731338
GPT-4o mini Transcribe,building,63,0,4,67,0.05970149253731338
whisper-large-v3-turbo,direct,63,0,4,67,0.05970149253731338
whisper-small,direct,63,3,1,67,0.05970149253731338
GPT-4o mini Transcribe,800,63,1,3,67,0.05970149253731338
GPT-4o mini Transcribe,where,268,7,10,285,0.05964912280701751
GPT-4o mini Transcribe,actually,253,6,10,269,0.059479553903345694
whisper-large-v3-turbo,large,95,6,0,101,0.05940594059405946
GPT-4o mini Transcribe,however,190,9,3,202,0.05940594059405946
GPT-4o mini Transcribe,key,190,12,0,202,0.05940594059405946
whisper-large-v3-turbo,this,3881,135,110,4126,0.05937954435288417
whisper-small,expense,206,10,3,219,0.05936073059360736
whisper-large-v3-turbo,700,111,3,4,118,0.05932203389830504
GPT-4o mini Transcribe,months,1349,56,29,1434,0.05927475592747555
whisper-small,however,191,12,0,203,0.059113300492610876
whisper-large-v3-turbo,gross,733,25,21,779,0.05905006418485237
whisper-small,page,255,11,5,271,0.059040590405904037
GPT-4o mini Transcribe,in,16846,553,504,17903,0.059040384293135184
GPT-4o mini Transcribe,is,6210,224,165,6599,0.058948325503864196
GPT-4o mini Transcribe,impact,527,19,14,560,0.05892857142857144
GPT-4o mini Transcribe,bookings,48,3,0,51,0.05882352941176472
GPT-4o mini Transcribe,wanted,48,0,3,51,0.05882352941176472
GPT-4o mini Transcribe,400,112,2,5,119,0.05882352941176472
whisper-small,upper,48,3,0,51,0.05882352941176472
whisper-small,food,48,3,0,51,0.05882352941176472
GPT-4o mini Transcribe,might,48,3,0,51,0.05882352941176472
GPT-4o mini Transcribe,network,48,0,3,51,0.05882352941176472
whisper-large-v3-turbo,accordingly,48,3,0,51,0.05882352941176472
GPT-4o mini Transcribe,something,144,0,9,153,0.05882352941176472
GPT-4o mini Transcribe,cumulative,48,0,3,51,0.05882352941176472
whisper-small,wanted,48,0,3,51,0.05882352941176472
whisper-small,different,96,0,6,102,0.05882352941176472
whisper-large-v3-turbo,wet,48,3,0,51,0.05882352941176472
whisper-small,wet,48,0,3,51,0.05882352941176472
whisper-large-v3-turbo,grown,48,3,0,51,0.05882352941176472
whisper-small,natural,48,0,3,51,0.05882352941176472
GPT-4o mini Transcribe,raised,64,0,4,68,0.05882352941176472
GPT-4o mini Transcribe,factor,48,0,3,51,0.05882352941176472
whisper-large-v3-turbo,wanted,48,0,3,51,0.05882352941176472
whisper-large-v3-turbo,raised,64,0,4,68,0.05882352941176472
whisper-large-v3-turbo,food,48,3,0,51,0.05882352941176472
GPT-4o mini Transcribe,food,48,3,0,51,0.05882352941176472
GPT-4o mini Transcribe,showed,48,0,3,51,0.05882352941176472
GPT-4o mini Transcribe,natural,48,0,3,51,0.05882352941176472
whisper-large-v3-turbo,natural,48,0,3,51,0.05882352941176472
GPT-4o mini Transcribe,rd,192,12,0,204,0.05882352941176472
whisper-small,ratio,722,23,22,767,0.05867014341590615
GPT-4o mini Transcribe,reported,321,10,10,341,0.058651026392961825
whisper-large-v3-turbo,free,626,17,22,665,0.05864661654135339
whisper-small,points,1125,49,21,1195,0.05857740585774063
whisper-small,program,177,8,3,188,0.058510638297872286
GPT-4o mini Transcribe,first,1772,57,53,1882,0.05844845908607865
whisper-large-v3-turbo,record,274,16,1,291,0.05841924398625431
GPT-4o mini Transcribe,company,274,10,7,291,0.05841924398625431
GPT-4o mini Transcribe,capex,258,7,9,274,0.058394160583941646
whisper-small,leading,113,7,0,120,0.05833333333333335
GPT-4o mini Transcribe,now,1196,32,42,1270,0.058267716535433056
whisper-small,highest,97,3,3,103,0.058252427184465994
whisper-large-v3-turbo,plus,550,23,11,584,0.05821917808219179
whisper-small,coming,211,6,7,224,0.0580357142857143
GPT-4o mini Transcribe,costs,536,20,13,569,0.05799648506151145
whisper-large-v3-turbo,since,260,15,1,276,0.05797101449275366
GPT-4o mini Transcribe,lot,65,1,3,69,0.05797101449275366
whisper-small,lot,65,1,3,69,0.05797101449275366
GPT-4o mini Transcribe,these,586,26,10,622,0.05787781350482313
whisper-small,ebit,293,11,7,311,0.05787781350482313
whisper-small,1.6,114,4,3,121,0.05785123966942152
GPT-4o mini Transcribe,payments,114,1,6,121,0.05785123966942152
whisper-large-v3-turbo,across,212,4,9,225,0.05777777777777782
whisper-small,increases,147,7,2,156,0.05769230769230771
whisper-large-v3-turbo,brands,49,3,0,52,0.05769230769230771
GPT-4o mini Transcribe,progress,49,0,3,52,0.05769230769230771
whisper-large-v3-turbo,lead,49,3,0,52,0.05769230769230771
GPT-4o mini Transcribe,left,49,0,3,52,0.05769230769230771
GPT-4o mini Transcribe,order,147,9,0,156,0.05769230769230771
GPT-4o mini Transcribe,fx,49,0,3,52,0.05769230769230771
whisper-small,growing,245,9,6,260,0.05769230769230771
whisper-small,left,49,0,3,52,0.05769230769230771
whisper-small,dividends,147,9,0,156,0.05769230769230771
whisper-large-v3-turbo,left,49,0,3,52,0.05769230769230771
whisper-large-v3-turbo,business,948,30,28,1006,0.05765407554671964
GPT-4o mini Transcribe,despite,213,7,6,226,0.05752212389380529
GPT-4o mini Transcribe,slightly,246,3,12,261,0.05747126436781613
GPT-4o mini Transcribe,given,246,15,0,261,0.05747126436781613
whisper-small,beyond,115,6,1,122,0.05737704918032782
whisper-large-v3-turbo,85,148,3,6,157,0.0573248407643312
whisper-small,pesos,362,13,9,384,0.05729166666666663
whisper-small,came,280,11,6,297,0.0572390572390572
GPT-4o mini Transcribe,operating,2027,76,47,2150,0.05720930232558141
whisper-small,many,66,3,1,70,0.05714285714285716
GPT-4o mini Transcribe,many,66,3,1,70,0.05714285714285716
GPT-4o mini Transcribe,regarding,198,6,6,210,0.05714285714285716
whisper-small,barrels,165,7,3,175,0.05714285714285716
whisper-small,guess,66,1,3,70,0.05714285714285716
whisper-large-v3-turbo,pounds,99,3,3,105,0.05714285714285716
whisper-small,pounds,99,3,3,105,0.05714285714285716
whisper-large-v3-turbo,strong,1057,39,25,1121,0.05709188224799289
whisper-large-v3-turbo,increasing,248,12,3,263,0.057034220532319435
GPT-4o mini Transcribe,posted,248,6,9,263,0.057034220532319435
GPT-4o mini Transcribe,revenue,3046,103,81,3230,0.056965944272445834
GPT-4o mini Transcribe,contribution,298,9,9,316,0.05696202531645567
whisper-large-v3-turbo,payment,149,6,3,158,0.05696202531645567
whisper-small,figures,149,6,3,158,0.05696202531645567
GPT-4o mini Transcribe,26,232,10,4,246,0.05691056910569103
whisper-small,products,199,9,3,211,0.056872037914691975
GPT-4o mini Transcribe,products,199,6,6,211,0.056872037914691975
whisper-small,some,448,17,10,475,0.056842105263157916
whisper-small,such,83,3,2,88,0.05681818181818177
GPT-4o mini Transcribe,fourth,664,21,19,704,0.05681818181818177
whisper-large-v3-turbo,such,83,3,2,88,0.05681818181818177
whisper-large-v3-turbo,outlook,216,4,9,229,0.05676855895196509
whisper-large-v3-turbo,despite,216,6,7,229,0.05676855895196509
GPT-4o mini Transcribe,2021,3008,115,66,3189,0.05675760426465981
whisper-small,fixed,133,4,4,141,0.05673758865248224
whisper-large-v3-turbo,2022,1696,63,39,1798,0.05672969966629593
GPT-4o mini Transcribe,term,366,16,6,388,0.05670103092783507
whisper-large-v3-turbo,increased,1564,69,25,1658,0.05669481302774426
GPT-4o mini Transcribe,level,516,24,7,547,0.05667276051188297
whisper-large-v3-turbo,9.9,50,3,0,53,0.05660377358490565
whisper-large-v3-turbo,progress,50,0,3,53,0.05660377358490565
whisper-small,future,100,0,6,106,0.05660377358490565
GPT-4o mini Transcribe,ma,50,0,3,53,0.05660377358490565
GPT-4o mini Transcribe,week,50,3,0,53,0.05660377358490565
GPT-4o mini Transcribe,0.9,50,0,3,53,0.05660377358490565
whisper-small,2.8,50,0,3,53,0.05660377358490565
whisper-large-v3-turbo,week,50,3,0,53,0.05660377358490565
GPT-4o mini Transcribe,had,735,28,16,779,0.056482670089858744
whisper-large-v3-turbo,current,284,4,13,301,0.056478405315614655
whisper-large-v3-turbo,posted,251,9,6,266,0.05639097744360899
GPT-4o mini Transcribe,shares,385,10,13,408,0.056372549019607865
whisper-small,partners,67,3,1,71,0.05633802816901412
whisper-large-v3-turbo,being,218,9,4,231,0.05627705627705626
whisper-large-v3-turbo,back,420,13,12,445,0.0561797752808989
whisper-large-v3-turbo,term,370,21,1,392,0.056122448979591844
GPT-4o mini Transcribe,invested,101,3,3,107,0.05607476635514019
whisper-large-v3-turbo,rate,961,40,17,1018,0.055992141453831024
whisper-large-v3-turbo,down,894,36,17,947,0.05596620908130945
whisper-large-v3-turbo,approximately,675,24,16,715,0.05594405594405594
whisper-small,grow,254,9,6,269,0.055762081784386575
whisper-small,improvement,305,5,13,323,0.05572755417956654
GPT-4o mini Transcribe,time,458,19,8,485,0.05567010309278353
whisper-small,solid,204,4,8,216,0.05555555555555558
whisper-small,fx,51,0,3,54,0.05555555555555558
whisper-large-v3-turbo,roce,51,0,3,54,0.05555555555555558
whisper-large-v3-turbo,network,51,0,3,54,0.05555555555555558
whisper-small,though,51,0,3,54,0.05555555555555558
whisper-small,160,102,6,0,108,0.05555555555555558
whisper-large-v3-turbo,bookings,51,3,0,54,0.05555555555555558
whisper-large-v3-turbo,raise,51,3,0,54,0.05555555555555558
whisper-large-v3-turbo,showed,51,0,3,54,0.05555555555555558
whisper-large-v3-turbo,reasons,68,0,4,72,0.05555555555555558
whisper-small,proceeds,68,0,4,72,0.05555555555555558
GPT-4o mini Transcribe,trends,51,3,0,54,0.05555555555555558
GPT-4o mini Transcribe,please,323,7,12,342,0.05555555555555558
whisper-small,each,102,6,0,108,0.05555555555555558
whisper-small,network,51,0,3,54,0.05555555555555558
whisper-small,83,51,1,2,54,0.05555555555555558
GPT-4o mini Transcribe,reason,51,3,0,54,0.05555555555555558
GPT-4o mini Transcribe,aircraft,51,3,0,54,0.05555555555555558
whisper-small,raise,51,3,0,54,0.05555555555555558
whisper-large-v3-turbo,aircraft,51,3,0,54,0.05555555555555558
whisper-small,best,85,4,1,90,0.05555555555555558
whisper-small,scope,51,3,0,54,0.05555555555555558
whisper-small,factor,51,0,3,54,0.05555555555555558
whisper-small,16.6,51,0,3,54,0.05555555555555558
whisper-small,aircraft,51,3,0,54,0.05555555555555558
GPT-4o mini Transcribe,raise,51,3,0,54,0.05555555555555558
GPT-4o mini Transcribe,pounds,102,3,3,108,0.05555555555555558
GPT-4o mini Transcribe,coming,222,4,9,235,0.05531914893617018
GPT-4o mini Transcribe,rates,205,5,7,217,0.055299539170506895
GPT-4o mini Transcribe,energy,188,9,2,199,0.055276381909547756
GPT-4o mini Transcribe,due,771,29,16,816,0.05514705882352944
GPT-4o mini Transcribe,work,103,6,0,109,0.05504587155963303
whisper-large-v3-turbo,work,103,6,0,109,0.05504587155963303
GPT-4o mini Transcribe,700,103,3,3,109,0.05504587155963303
whisper-large-v3-turbo,grew,842,30,19,891,0.05499438832772163
GPT-4o mini Transcribe,next,619,12,24,655,0.05496183206106875
whisper-large-v3-turbo,growth,5229,211,93,5533,0.0549430688595699
whisper-large-v3-turbo,non,396,14,9,419,0.054892601431980936
GPT-4o mini Transcribe,during,793,17,29,839,0.0548271752085816
whisper-small,report,69,3,1,73,0.0547945205479452
GPT-4o mini Transcribe,reduced,138,3,5,146,0.0547945205479452
whisper-large-v3-turbo,sale,69,1,3,73,0.0547945205479452
whisper-large-v3-turbo,continued,311,14,4,329,0.054711246200607855
GPT-4o mini Transcribe,december,311,9,9,329,0.054711246200607855
GPT-4o mini Transcribe,have,2281,76,56,2413,0.05470368835474515
whisper-large-v3-turbo,16,363,11,10,384,0.0546875
whisper-large-v3-turbo,fx,52,0,3,55,0.054545454545454564
whisper-small,lost,52,0,3,55,0.054545454545454564
GPT-4o mini Transcribe,commerce,52,0,3,55,0.054545454545454564
whisper-large-v3-turbo,might,52,3,0,55,0.054545454545454564
GPT-4o mini Transcribe,conditions,52,2,1,55,0.054545454545454564
whisper-large-v3-turbo,commerce,52,3,0,55,0.054545454545454564
whisper-small,indicator,52,3,0,55,0.054545454545454564
whisper-small,front,52,3,0,55,0.054545454545454564
whisper-large-v3-turbo,moving,330,13,6,349,0.054441260744985676
whisper-small,depreciation,105,3,3,111,0.05405405405405406
whisper-large-v3-turbo,depreciation,105,3,3,111,0.05405405405405406
GPT-4o mini Transcribe,sustainable,70,0,4,74,0.05405405405405406
whisper-small,line,561,13,19,593,0.053962900505902245
GPT-4o mini Transcribe,equity,579,26,7,612,0.05392156862745101
whisper-small,currency,158,6,3,167,0.053892215568862256
GPT-4o mini Transcribe,you,3722,89,123,3934,0.05388917132689375
whisper-small,charges,88,1,4,93,0.053763440860215006
whisper-small,ask,53,3,0,56,0.0535714285714286
whisper-small,targeting,53,0,3,56,0.0535714285714286
whisper-small,view,53,3,0,56,0.0535714285714286
whisper-large-v3-turbo,ask,53,0,3,56,0.0535714285714286
whisper-large-v3-turbo,todays,53,0,3,56,0.0535714285714286
GPT-4o mini Transcribe,kind,106,3,3,112,0.0535714285714286
whisper-large-v3-turbo,plan,177,7,3,187,0.053475935828877
whisper-small,prior,549,21,10,580,0.05344827586206902
whisper-large-v3-turbo,prior,549,19,12,580,0.05344827586206902
GPT-4o mini Transcribe,24,266,7,8,281,0.053380782918149516
whisper-small,could,213,3,9,225,0.053333333333333344
whisper-small,costs,551,20,11,582,0.053264604810996596
whisper-large-v3-turbo,expansion,214,12,0,226,0.053097345132743334
whisper-small,kind,107,3,3,113,0.053097345132743334
whisper-small,service,232,6,7,245,0.05306122448979589
GPT-4o mini Transcribe,18,376,11,10,397,0.052896725440806036
whisper-large-v3-turbo,thanks,197,9,2,208,0.05288461538461542
whisper-large-v3-turbo,would,717,20,20,757,0.05284015852047552
whisper-large-v3-turbo,major,90,3,2,95,0.052631578947368474
whisper-large-v3-turbo,category,108,6,0,114,0.052631578947368474
whisper-large-v3-turbo,2024,54,3,0,57,0.052631578947368474
whisper-large-v3-turbo,need,90,4,1,95,0.052631578947368474
whisper-large-v3-turbo,sort,144,0,8,152,0.052631578947368474
whisper-large-v3-turbo,normalized,54,3,0,57,0.052631578947368474
GPT-4o mini Transcribe,major,90,3,2,95,0.052631578947368474
whisper-small,closer,54,0,3,57,0.052631578947368474
whisper-large-v3-turbo,upstream,54,3,0,57,0.052631578947368474
GPT-4o mini Transcribe,january,72,0,4,76,0.052631578947368474
whisper-small,between,558,12,19,589,0.052631578947368474
GPT-4o mini Transcribe,launched,54,3,0,57,0.052631578947368474
whisper-small,gdp,54,0,3,57,0.052631578947368474
whisper-large-v3-turbo,gdp,54,0,3,57,0.052631578947368474
whisper-large-v3-turbo,ebt,54,3,0,57,0.052631578947368474
GPT-4o mini Transcribe,gdp,54,0,3,57,0.052631578947368474
whisper-small,participants,72,0,4,76,0.052631578947368474
whisper-small,normalized,54,3,0,57,0.052631578947368474
GPT-4o mini Transcribe,normalized,54,3,0,57,0.052631578947368474
whisper-large-v3-turbo,closer,54,0,3,57,0.052631578947368474
whisper-small,doing,54,3,0,57,0.052631578947368474
GPT-4o mini Transcribe,closer,54,0,3,57,0.052631578947368474
GPT-4o mini Transcribe,losses,54,0,3,57,0.052631578947368474
GPT-4o mini Transcribe,upstream,54,3,0,57,0.052631578947368474
whisper-large-v3-turbo,also,1117,24,38,1179,0.052586938083121315
GPT-4o mini Transcribe,60,343,9,10,362,0.0524861878453039
GPT-4o mini Transcribe,11,380,10,11,401,0.052369077306733125
whisper-large-v3-turbo,off,181,0,10,191,0.05235602094240843
GPT-4o mini Transcribe,higher,906,24,26,956,0.05230125523012552
GPT-4o mini Transcribe,got,109,6,0,115,0.05217391304347829
GPT-4o mini Transcribe,strong,1054,36,22,1112,0.05215827338129497
GPT-4o mini Transcribe,digit,200,0,11,211,0.05213270142180093
whisper-large-v3-turbo,driven,691,25,13,729,0.052126200274348444
GPT-4o mini Transcribe,viously,182,6,4,192,0.05208333333333337
GPT-4o mini Transcribe,down,894,27,22,943,0.051961823966065745
GPT-4o mini Transcribe,available,73,0,4,77,0.051948051948051965
GPT-4o mini Transcribe,go,219,9,3,231,0.051948051948051965
whisper-large-v3-turbo,available,73,1,3,77,0.051948051948051965
whisper-small,go,219,9,3,231,0.051948051948051965
whisper-large-v3-turbo,debt,1004,27,28,1059,0.05193578847969782
whisper-small,viously,183,6,4,193,0.051813471502590636
whisper-large-v3-turbo,impairment,55,3,0,58,0.051724137931034475
whisper-small,while,495,12,15,522,0.051724137931034475
whisper-large-v3-turbo,always,55,3,0,58,0.051724137931034475
whisper-small,320,55,3,0,58,0.051724137931034475
whisper-small,ratios,55,3,0,58,0.051724137931034475
whisper-small,investor,55,3,0,58,0.051724137931034475
GPT-4o mini Transcribe,5.4,55,3,0,58,0.051724137931034475
whisper-large-v3-turbo,investor,55,3,0,58,0.051724137931034475
GPT-4o mini Transcribe,mid,110,6,0,116,0.051724137931034475
whisper-large-v3-turbo,probably,110,3,3,116,0.051724137931034475
whisper-small,impacts,55,3,0,58,0.051724137931034475
GPT-4o mini Transcribe,above,440,16,8,464,0.051724137931034475
whisper-large-v3-turbo,largely,55,3,0,58,0.051724137931034475
GPT-4o mini Transcribe,largely,55,3,0,58,0.051724137931034475
GPT-4o mini Transcribe,investor,55,3,0,58,0.051724137931034475
GPT-4o mini Transcribe,probably,110,3,3,116,0.051724137931034475
whisper-large-v3-turbo,mid,110,6,0,116,0.051724137931034475
whisper-large-v3-turbo,5.4,55,3,0,58,0.051724137931034475
whisper-small,efficiency,55,0,3,58,0.051724137931034475
whisper-large-v3-turbo,320,55,3,0,58,0.051724137931034475
GPT-4o mini Transcribe,always,55,0,3,58,0.051724137931034475
GPT-4o mini Transcribe,320,55,3,0,58,0.051724137931034475
whisper-large-v3-turbo,example,55,0,3,58,0.051724137931034475
whisper-large-v3-turbo,provide,55,0,3,58,0.051724137931034475
whisper-small,5.4,55,3,0,58,0.051724137931034475
whisper-small,always,55,3,0,58,0.051724137931034475
GPT-4o mini Transcribe,increased,1561,45,40,1646,0.051640340218712
GPT-4o mini Transcribe,28,184,6,4,194,0.05154639175257736
whisper-small,15,718,17,22,757,0.0515191545574637
GPT-4o mini Transcribe,27,221,9,3,233,0.05150214592274682
